xpos,ypos,zpos,x_velocity,y_velocity,z_velocity,pressure,velocity_magnitude
0.0,0.0,2.6,2.906,0.0,-0.0,2,2.906
0.0,0.0,6.8,3.152,0.0,0.0,2,3.152
0.0,0.0,10.0,3.303,0.0,0.0,2,3.303
0.0,0.0,13.21,3.43,0.0,0.0,2,3.43
0.0,0.0,16.41,3.541,0.0,0.0,2,3.541
0.0,0.0,18.57,3.604,0.0,0.0,2,3.604
0.0,0.0,20.01,3.651,0.0,-0.0,2,3.651
0.0,0.0,21.29,3.684,0.0,0.0,2,3.684
0.0,0.0,22.3,3.714,0.0,0.0,2,3.714
0.0,0.0,23.67,3.749,0.0,0.0,2,3.749
0.0,0.0,25.37,3.792,0.0,0.0,2,3.792
0.0,0.0,26.57,3.817,0.0,0.0,2,3.817
0.0,0.0,28.51,3.867,0.0,-0.0,2,3.867
0.0,0.0,31.87,3.939,0.0,0.0,2,3.939
0.0,0.0,35.23,4.007,0.0,0.0,2,4.007
0.0,0.0,38.59,4.071,0.0,0.0,2,4.071
0.0,0.0,41.95,4.132,0.0,0.0,2,4.132
0.0,0.0,45.31,4.19,0.0,0.048,2,4.19
0.0,0.0,48.67,4.243,-0.16,0.051,1,4.246
0.0,0.0,52.03,4.296,-0.162,-0.051,1,4.299
0.0,3.1899999999999977,2.6,2.912,0.0,-0.0,2,2.912
0.0,3.1899999999999977,6.8,3.159,0.0,0.0,2,3.159
0.0,3.1899999999999977,10.0,3.31,0.0,0.0,2,3.31
0.0,3.1899999999999977,13.21,3.436,0.0,0.0,2,3.436
0.0,3.1899999999999977,16.41,3.546,0.0,0.0,2,3.546
0.0,3.1899999999999977,18.57,3.609,0.0,0.0,2,3.609
0.0,3.1899999999999977,20.01,3.655,0.0,-0.0,2,3.655
0.0,3.1899999999999977,21.29,3.688,0.0,0.0,2,3.688
0.0,3.1899999999999977,22.3,3.718,0.0,0.0,2,3.718
0.0,3.1899999999999977,23.67,3.754,0.0,0.0,2,3.754
0.0,3.1899999999999977,25.37,3.796,0.0,0.0,2,3.796
0.0,3.1899999999999977,26.57,3.82,0.0,0.0,2,3.82
0.0,3.1899999999999977,28.51,3.87,0.0,-0.0,2,3.87
0.0,3.1899999999999977,31.87,3.942,0.0,0.0,2,3.942
0.0,3.1899999999999977,35.23,4.009,0.0,0.0,2,4.009
0.0,3.1899999999999977,38.59,4.073,0.0,0.0,2,4.073
0.0,3.1899999999999977,41.95,4.134,0.0,0.0,2,4.134
0.0,3.1899999999999977,45.31,4.192,0.0,0.0,2,4.192
0.0,3.1899999999999977,48.67,4.248,-0.051,0.0,2,4.248
0.0,3.1899999999999977,52.03,4.302,-0.052,0.0,2,4.302
0.0,6.390000000000001,2.6,2.928,0.0,-0.0,2,2.928
0.0,6.390000000000001,6.8,3.172,0.0,0.0,2,3.172
0.0,6.390000000000001,10.0,3.322,0.0,0.0,2,3.322
0.0,6.390000000000001,13.21,3.448,0.0,0.0,2,3.448
0.0,6.390000000000001,16.41,3.557,0.0,0.0,2,3.557
0.0,6.390000000000001,18.57,3.619,0.0,0.0,2,3.619
0.0,6.390000000000001,20.01,3.665,0.0,-0.0,2,3.665
0.0,6.390000000000001,21.29,3.697,0.0,0.0,2,3.697
0.0,6.390000000000001,22.3,3.727,0.0,0.0,2,3.727
0.0,6.390000000000001,23.67,3.762,0.0,0.0,2,3.762
0.0,6.390000000000001,25.37,3.804,0.0,0.0,2,3.804
0.0,6.390000000000001,26.57,3.828,0.0,0.0,2,3.828
0.0,6.390000000000001,28.51,3.877,0.0,-0.0,2,3.877
0.0,6.390000000000001,31.87,3.948,0.0,0.0,2,3.948
0.0,6.390000000000001,35.23,4.015,0.0,0.0,2,4.015
0.0,6.390000000000001,38.59,4.078,0.0,0.0,2,4.078
0.0,6.390000000000001,41.95,4.138,0.0,0.0,2,4.138
0.0,6.390000000000001,45.31,4.196,0.0,0.0,2,4.196
0.0,6.390000000000001,48.67,4.251,0.0,0.0,2,4.251
0.0,6.390000000000001,52.03,4.306,0.0,0.0,2,4.306
0.0,9.579999999999998,2.6,2.953,0.0,-0.0,2,2.953
0.0,9.579999999999998,6.8,3.193,0.0,0.0,2,3.193
0.0,9.579999999999998,10.0,3.341,0.0,0.0,2,3.341
0.0,9.579999999999998,13.21,3.465,0.0,0.0,2,3.465
0.0,9.579999999999998,16.41,3.573,0.0,0.0,2,3.573
0.0,9.579999999999998,18.57,3.633,0.0,0.0,2,3.633
0.0,9.579999999999998,20.01,3.679,0.0,-0.0,2,3.679
0.0,9.579999999999998,21.29,3.711,0.0,0.0,2,3.711
0.0,9.579999999999998,22.3,3.74,0.0,0.0,2,3.74
0.0,9.579999999999998,23.67,3.775,0.0,0.0,2,3.775
0.0,9.579999999999998,25.37,3.816,0.0,0.0,2,3.816
0.0,9.579999999999998,26.57,3.839,0.0,0.0,2,3.839
0.0,9.579999999999998,28.51,3.888,0.0,-0.0,2,3.888
0.0,9.579999999999998,31.87,3.958,0.0,0.0,2,3.958
0.0,9.579999999999998,35.23,4.023,0.0,0.0,2,4.023
0.0,9.579999999999998,38.59,4.086,0.0,0.0,2,4.086
0.0,9.579999999999998,41.95,4.145,0.0,0.0,2,4.145
0.0,9.579999999999998,45.31,4.202,0.0,0.0,2,4.202
0.0,9.579999999999998,48.67,4.257,0.0,0.0,2,4.257
0.0,9.579999999999998,52.03,4.311,0.0,0.0,2,4.311
0.0,12.770000000000003,2.6,2.988,0.0,-0.0,2,2.988
0.0,12.770000000000003,6.8,3.222,0.0,0.0,2,3.222
0.0,12.770000000000003,10.0,3.368,0.0,0.0,2,3.368
0.0,12.770000000000003,13.21,3.489,0.0,0.0,2,3.489
0.0,12.770000000000003,16.41,3.595,0.0,0.0,2,3.595
0.0,12.770000000000003,18.57,3.653,0.0,0.0,2,3.653
0.0,12.770000000000003,20.01,3.699,0.0,-0.0,2,3.699
0.0,12.770000000000003,21.29,3.729,0.0,0.0,2,3.729
0.0,12.770000000000003,22.3,3.759,0.0,0.0,2,3.759
0.0,12.770000000000003,23.67,3.792,0.0,0.0,2,3.792
0.0,12.770000000000003,25.37,3.832,0.0,0.0,2,3.832
0.0,12.770000000000003,26.57,3.854,0.0,0.0,2,3.854
0.0,12.770000000000003,28.51,3.903,0.0,-0.0,2,3.903
0.0,12.770000000000003,31.87,3.97,0.0,0.0,2,3.97
0.0,12.770000000000003,35.23,4.035,0.0,0.0,2,4.035
0.0,12.770000000000003,38.59,4.095,0.0,0.0,2,4.095
0.0,12.770000000000003,41.95,4.154,0.0,0.0,2,4.154
0.0,12.770000000000003,45.31,4.21,0.0,0.0,2,4.21
0.0,12.770000000000003,48.67,4.264,0.0,0.0,2,4.264
0.0,12.770000000000003,52.03,4.318,0.0,0.0,2,4.318
0.0,15.969999999999999,2.6,3.033,0.0,-0.0,2,3.033
0.0,15.969999999999999,6.8,3.259,0.0,0.0,2,3.259
0.0,15.969999999999999,10.0,3.402,0.0,0.0,2,3.402
0.0,15.969999999999999,13.21,3.52,0.0,0.0,2,3.52
